Group;Group_Simple;Order;Common_Name;Dominant_Frequency;Log_Dominant_Frequency;Scientific_Name;Scientific_Name_(Replacement_Species);Frequency;Log_Frequency;Weight;Log_Weight;Environement;Mastication;Congregatory;Group_Size;Log_Group_Size;Chewing_Rate;Log_Chewing_Rate;Ref
Amphibia;Other;Anura;Ameerega Berohoka;4112.841797;3.614142004;Ameerega berohoka;Ameeregahahneli;3.80743311;0.58063228;0.005;-2.301029996;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Ameerega Berohoka;4048.242188;3.607266486;Ameerega berohoka;Ameeregahahneli;2.26391327;0.35485979;0.005;-2.301029996;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Ameerega Berohoka;4005.175781;3.602621581;Ameerega berohoka;Ameeregahahneli;2.98725147;0.47527178;0.005;-2.301029996;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Ameerega Berohoka;4155.908203;3.618665946;Ameerega berohoka;Ameeregahahneli;2.69226177;0.43011728;0.005;-2.301029996;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Ameerega Berohoka;3940.576172;3.595559727;Ameerega berohoka;Ameeregahahneli;2.51196905;0.40001428;0.005;-2.301029996;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Common Frog;;;Rana temporaria;Rana temporaria;2.51196905;0.40001429;0.0227;-1.64397414;Shore;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Common Frog;;;Rana temporaria;Rana temporaria;2.51196905;0.40001429;0.0227;-1.64397414;Shore;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.26
Amphibia;Other;Anura;Common Spadefoot Toad;602.9296875;2.780266669;Pelobates fuscus;Pelobates fuscus;4.08070577;0.61073528;0.075;-1.12493874;Shore;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Common Spadefoot Toad;602.9296875;2.780266669;Pelobates fuscus;Pelobates fuscus;3.5524607;0.55052928;0.075;-1.12493874;Shore;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Common Spadefoot Toad;516.796875;2.713319879;Pelobates fuscus;Pelobates fuscus;5.2011069;0.71609578;0.075;-1.12493874;Shore;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Rhinella Ornata;1076.660156;3.032078641;Rhinella ornata;Bufotes raddei;4.08070577;0.61073528;;;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Rhinella Ornata;1076.660156;3.032078641;Rhinella ornata;Bufotes raddei;7.88340389;0.89671378;;;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Rhinella Ornata;1205.859375;3.081296664;Rhinella ornata;Bufotes raddei;5.02393811;0.70104428;;;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Rhinella Ornata;1119.726563;3.049111981;Rhinella ornata;Bufotes raddei;8.16141153;0.91176528;;;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Rhinella Ornata;990.5273438;2.995866469;Rhinella ornata;Bufotes raddei;7.10492141;0.85155928;;;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Strawberry Poison Dart Frog;538.3300781;2.731048646;Oophaga pumilio;Phyllobates terribilis;1.093398037;0.03877829;0.0028;-2.552841969;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Strawberry Poison Dart Frog;947.4609375;2.976561314;Oophaga pumilio;Phyllobates terribilis;0.985425487;-0.00637621;0.0028;-2.552841969;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Strawberry Poison Dart Frog;818.2617188;2.912892234;Oophaga pumilio;Phyllobates terribilis;2.60055345;0.415065784;0.0028;-2.552841969;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Strawberry Poison Dart Frog;1098.193359;3.040678813;Oophaga pumilio;Phyllobates terribilis;2.263913271;0.354859785;0.0028;-2.552841969;Wetland;No;No;2;0.301029996;;;
Amphibia;Other;Anura;Strawberry Poison Dart Frog;1076.660156;3.032078642;Oophaga pumilio;Phyllobates terribilis;6.629126074;0.821456279;0.0028;-2.552841969;Wetland;No;No;2;0.301029996;;;
