Common_Name;Vocal_Repertoire;Reference;Species type
Macaca mulatta;10;https://link.springer.com/chapter/10.1007/978-3-030-27920-2_7/tables/1;Regular
Pan paniscus;16;https://www.jstor.org/stable/4534707;Regular
Pan troglodytes;25;https://www.cambridge.org/core/books/abs/chimpanzees-of-the-tai-forest/why-does-the-chimpanzee-vocal-repertoire-remain-poorly-understood-and-what-can-be-done-about-it/18C196F06BC8C1A973C9E1A2892679A9;Regular
Papio hamadryas;10;https://hal.science/hal-01649539/document;Regular
Pongo pygmaeus;28;https://www.uzh.ch/cmsssl/aim/en/research/orangutannetwork/orangutancallrepertoires.html;Regular
Aquila chrysaetos;11;https://birdsoftheworld.org/bow/species/goleag/cur/sounds;Regular
Cygnus cygnus;6;https://birdsoftheworld.org/bow/species/tunswa/cur/sounds;Replacement
Ameerega berohoka;3;https://www.semanticscholar.org/reader/22838335c0757515e078ead7e56bc447c8cb00cf;Replacement
Rana temporaria;5;https://link.springer.com/chapter/10.1007/978-1-4684-4412-4_42;Regular
Pelobates fuscus;7;https://www.tandfonline.com/doi/pdf/10.1080/11250009009355717;Regular
Colibri cyanotus;6;https://academic.oup.com/auk/article/123/4/1129/5562821?login=true;Replacement
Capreolus capreolus;4;https://onlinelibrary.wiley.com/doi/full/10.1111/j.1096-0031.2008.00223.x;Regular
Hippopotamus amphibius;10;https://pubs.aip.org/asa/jasa/article/138/2/545/916272/Acoustic-and-behavioral-repertoires-of-the;Regular
Megaptera novaeangliae;17;https://pubs.aip.org/asa/jasa/article/137/1/1/910545/Repertoire-and-classification-of-non-song-calls-in;Regular
Sus scrofa domesticus;4;https://onlinelibrary.wiley.com/doi/10.1111/eth.12472;Regular
Cariama cristata;3;https://link.springer.com/article/10.1007/BF03544333;Regular
Canis lupus familiaris;8;https://www.sciencedirect.com/science/article/pii/S1558787807001785?via%3Dihub;Regular
Lycaon pictus;10;https://brill.com/view/journals/beh/137/10/article-p1271_1.xml;Regular
Panthera leo;10;https://ielc.libguides.com/sdzg/factsheets/lions/behavior;Regular
Neophoca cinerea;6;https://journals.biologists.com/jeb/article/211/14/2288/17595/Vocal-identity-and-species-recognition-in-male;Regular
Dromaius novaehollandiae;5;https://birdsoftheworld.org/bow/species/emu1/1.0/introduction;Regular
Burhinus oedicnemus;11;https://bioone.org/journals/the-wilson-journal-of-ornithology/volume-125/issue-1/12-006.1/The-Vocal-Repertoire-of-the-Eurasian-Stone-Curlew-Burhinus-oedicnemus/10.1676/12-006.1.short;Regular
Haematopus ostralegus;5;https://www.jstor.org/stable/pdf/4161999.pdf;Replacement
Jacana jacana;5;https://birdsoftheworld.org/bow/species/watjac1/cur/introduction#sounds;Regular
Numenius phaeopus;11;https://birdsoftheworld.org/bow/species/whimbr/cur/sounds#vocal;Regular
Stercorarius maccormicki;5;http://www.eleseal.org/pdf_vari/Sanvito_Skua_Report_2017.pdf;Replacement
Columba oenas;3;https://birdsoftheworld.org/bow/species/stodov1/cur/introduction#sounds;Regular
Coracias caudatus;4;https://birdsoftheworld.org/bow/species/librol2/cur/introduction#vocal;Regular
Dacelo novaeguineae;8;https://birdsoftheworld.org/bow/species/laukoo1/cur/introduction#sounds;Regular
Sorex araneus;5;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6405488/;Replacement
Falco peregrinus;4;https://birdsoftheworld.org/bow/species/perfal/cur/sounds#vocal;Regular
Alectoris rufa;14;https://birdsoftheworld.org/bow/species/chukar/cur/sounds#vocal;Regular
Gavia stellata;9;https://birdsoftheworld.org/bow/species/retloo/cur/sounds#vocal;Regular
Procavia capensis;21;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0310.1977.tb00993.x;Regular
Ochotona dauurica;7;https://www.sciencedirect.com/science/article/abs/pii/S0003347285801263?via%3Dihub;Regular
Leptosomus discolor;10;https://birdsoftheworld.org/bow/species/cuckoo1/cur/introduction#sounds;Regular
Mesitornis variegatus;4;https://birdsoftheworld.org/bow/species/whbmes2/cur/introduction#sounds;Regular
Corythaeola cristata;7;https://birdsoftheworld.org/bow/species/grbtur1/cur/introduction#sounds;Regular
Afrotis afraoides;5;https://birdsoftheworld.org/bow/species/whqbus1/cur/sounds#vocal;Regular
Passer domesticus;13;https://birdsoftheworld.org/bow/species/houspa/cur/sounds#vocal;Regular
Phylloscopus coronatus;8;https://birdsoftheworld.org/bow/species/eacwar1/cur/introduction#sounds;Regular
Piranga olivacea;7;https://birdsoftheworld.org/bow/species/scatan/cur/sounds#vocal;Regular
Sitta canadensis;8;https://birdsoftheworld.org/bow/species/rebnut/cur/sounds#vocal;Regular
Acanthisitta chloris;9;https://journal.afonet.org/vol94/iss4/art11/;Regular
Chiroxiphia pareola;6;https://onlinelibrary.wiley.com/doi/full/10.1111/ibi.12548;Regular
Myadestes townsendi;5;https://birdsoftheworld.org/bow/species/towsol/cur/sounds#vocal;Regular
Equus ferus caballus;10;https://www.sciencedirect.com/science/article/pii/S1558787811001468?via%3Dihub;Regular
Picus sharpei;10;https://intapi.sciendo.com/pdf/10.2478/orhu-2022-0017;Regular
Podiceps grisegena;9;https://birdsoftheworld.org/bow/species/rengre/cur/sounds#vocal;Regular
Fulmarus glacialis;6;https://birdsoftheworld.org/bow/species/norful/cur/sounds#vocal;Regular
Cavia porcellus;11;https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1439-0310.1976.tb00471.x;Regular
Marmota flaviventris;8;https://www.sciencedirect.com/science/article/abs/pii/S0003347266800283;Regular
Mus musculus;11;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3052362/;Regular
Tupaia glis;10;https://www.jstor.org/stable/1381871?searchText=&searchUri=&ab_segments=&searchKey=&refreqid=fastly-default%3Ae24c5249ec33c35a6981ef1477fa9773;Regular
Spheniscus magellanicus;6;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0103460;Regular
