Common_Name;Weight;Brain_Weight;Chewing_Rate;B_B_Ratio;Environment;Group;Group_Simple;Order;Mastication;Congregatory;Group_Size;Chewing_Rate.1;Median;Beak_Length;Beak_Width;Beak_Depth
Cariama cristata;0,47712126;-1,863558306;NA;-3,905837912;Semi-Closed;Aves;Aves;Cariamiformes;No;No;0,301029996;NA;2,69226177;56,8;18,5;28,4
Dromaius novaehollandiae;1,62838893;-1,575919117;NA;-0,967778083;Closed;Aves;Aves;Casuariiformes;No;No;0,301029996;NA;1,02017644;102,4;29,7;21,7
Burhinus oedicnemus;-0,36001575;-2,34077303;NA;6,501862849;Open;Aves;Aves;Charadriiformes;No;No;0,301029996;NA;1,54629833;75,9;14,4;22,1
Columba oenas;-0,33677037;-2,327521869;NA;6,911302408;Semi-Closed;Aves;Aves;Columbiformes;No;No;0,301029996;NA;1,05615289;46,7;5,7;8,7
Cacomantis merulinus;-1,62893214;-3,004364805;NA;1,844376897;Semi-Closed;Aves;Aves;Cuculiformes;No;No;0,301029996;NA;2,11230577;28,6;5,1;6,3
Falco peregrinus;0,01072387;-2,19314197;NA;-204,5103092;Shore;Aves;Aves;Falconiformes;No;No;0,301029996;NA;1,75857465;65,9;14,9;18,3
Alectoris rufa;-0,32882716;-2,322993797;NA;7,064482742;Open;Aves;Aves;Galiiformes;No;Yes;2,190331698;NA;2,69226177;43,1;8,1;9,1
Leptosomus discolor;-0,63638802;-2,498320618;NA;3,925781975;Closed;Aves;Aves;Leptosomiformes;No;No;0,301029996;NA;1,39360209;76,1;7,5;11,8
Mesitornis variegatus;-0,97061622;-2,688849309;NA;2,770249717;Closed;Aves;Aves;Mesitornithiformes;No;No;0,301029996;NA;0,95185828;34;4,1;6,4
Nyctibius griseus;-0,46344156;-2,399731503;NA;5,178067118;Semi-Closed;Aves;Aves;Nyctibiiformes;No;No;0,301029996;NA;1,77623035;92,1;6,6;7,7
Afrotis afraoides;-0,15490196;-2,223846745;NA;14,35647906;Open;Aves;Aves;Otidiformes;No;No;0,301029996;NA;2,88549472;14,2;6,8;7,2
Anthoscopus minutus;-2,17069623;-3,372961759;NA;1,553861711;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;2,51196905;23,2;6,8;7,8
Dryoscopus cubla;-1,56863624;-3,02975403;NA;1,931457372;Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;1,30027673;68,6;22,6;24,4
Geositta rufipennis;-1,4034029;-2,935561823;NA;2,091745587;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;2,98725147;40,4;9;12,6
