Species;Rhythm;Type
Common_Potoo;1,967432523;Count
Common_Potoo;1,578742465;Count
Common_Potoo;1,481399724;Count
Common_Potoo;1,742571351;Count
Common_Potoo;1,407398897;Count
Guinea_Pig;2,161747045;Count
Guinea_Pig;2,404634784;Count
Guinea_Pig;2,870066057;Count
Guinea_Pig;2,656886593;Count
Guinea_Pig;2,449120828;Count
Lilac_Breasted_Roller;3,389485677;Count
Lilac_Breasted_Roller;4,320141066;Count
Lilac_Breasted_Roller;2,993032095;Count
Lilac_Breasted_Roller;2,610085227;Count
Lilac_Breasted_Roller;3,282869837;Count
Red_Breasted_Nuthatch;1,78300408;Count
Red_Breasted_Nuthatch;1,694921176;Count
Red_Breasted_Nuthatch;1,426039942;Count
Red_Breasted_Nuthatch;1,585863163;Count
Red_Breasted_Nuthatch;1,641797713;Count
Red_Throated_Loon;4,741255734;Count
Red_Throated_Loon;4,792763812;Count
Red_Throated_Loon;4,136872971;Count
Red_Throated_Loon;4,559796675;Count
Red_Throated_Loon;4,677274643;Count
Rhesus_Macaque;2,03692798;Count
Rhesus_Macaque;2,489556283;Count
Rhesus_Macaque;1,979664669;Count
Rhesus_Macaque;2,540908043;Count
Rhesus_Macaque;2,350746269;Count
Rhesus_Macaque;2,400065308;Count
Rhesus_Macaque;2,053885383;Count
Rhesus_Macaque;2,123944951;Count
Rhesus_Macaque;2,475858971;Count
Rhesus_Macaque;1,905681032;Count
Rhesus_Macaque;2,650120938;Count
Rhesus_Macaque;2,325121594;Count
Rhesus_Macaque;3,225747463;Count
Rufous_Banded_Miner;3,010467233;Count
Rufous_Banded_Miner;3,10078125;Count
Rufous_Banded_Miner;3,598864032;Count
Rufous_Banded_Miner;2,542666052;Count
Rufous_Banded_Miner;2,514826642;Count
Rufous_Tailed_Jacamar;2,999262348;Count
Rufous_Tailed_Jacamar;2,010675403;Count
Rufous_Tailed_Jacamar;2,704653533;Count
Rufous_Tailed_Jacamar;2,630009542;Count
Rufous_Tailed_Jacamar;2,294521644;Count
Tawny_Owl;2,914268092;Count
Tawny_Owl;1,866655379;Count
Tawny_Owl;1,477768842;Count
Tawny_Owl;1,62977198;Count
Tawny_Owl;3,374604001;Count
Yellow_Bellied_Longbill;3,569039192;Count
Yellow_Bellied_Longbill;3,790858101;Count
Yellow_Bellied_Longbill;2,650422419;Count
Yellow_Bellied_Longbill;3,89186327;Count
Yellow_Bellied_Longbill;2,70545923;Count
Common_Potoo;1,416892805;IEI
Common_Potoo;1,573074947;IEI
Common_Potoo;1,507194275;IEI
Common_Potoo;1,38146955;IEI
Common_Potoo;1,428849217;IEI
Guinea_Pig;1,821913667;IEI
Guinea_Pig;3,14183147;IEI
Guinea_Pig;3,031336404;IEI
Guinea_Pig;2,574472615;IEI
Guinea_Pig;2,661131009;IEI
Lilac_Breasted_Roller;3,367204659;IEI
Lilac_Breasted_Roller;4,505279531;IEI
Lilac_Breasted_Roller;2,976153803;IEI
Lilac_Breasted_Roller;2,631324174;IEI
Lilac_Breasted_Roller;3,674808226;IEI
Red_Breasted_Nuthatch;1,767334565;IEI
Red_Breasted_Nuthatch;1,667214921;IEI
Red_Breasted_Nuthatch;1,416537592;IEI
Red_Breasted_Nuthatch;1,747693221;IEI
Red_Breasted_Nuthatch;1,744009513;IEI
Red_Throated_Loon;4,772183011;IEI
Red_Throated_Loon;4,821866742;IEI
Red_Throated_Loon;4,35334185;IEI
Red_Throated_Loon;5,037396307;IEI
Red_Throated_Loon;4,97188241;IEI
Rhesus_Macaque;2,558768624;IEI
Rhesus_Macaque;2,558768624;IEI
Rhesus_Macaque;1,953694624;IEI
Rhesus_Macaque;2,817722861;IEI
Rhesus_Macaque;2,281435332;IEI
Rhesus_Macaque;2,346118269;IEI
Rhesus_Macaque;1,980558576;IEI
Rhesus_Macaque;1,923440158;IEI
Rhesus_Macaque;2,388945024;IEI
Rhesus_Macaque;1,893430039;IEI
Rhesus_Macaque;2,791892077;IEI
Rhesus_Macaque;2,538348741;IEI
Rhesus_Macaque;3,295929178;IEI
Rufous_Banded_Miner;3,023602182;IEI
Rufous_Banded_Miner;3,154931686;IEI
Rufous_Banded_Miner;3,646377934;IEI
Rufous_Banded_Miner;2,556930193;IEI
Rufous_Banded_Miner;2,518034026;IEI
Rufous_Tailed_Jacamar;3,413321417;IEI
Rufous_Tailed_Jacamar;2,208489471;IEI
Rufous_Tailed_Jacamar;3,005225235;IEI
Rufous_Tailed_Jacamar;2,854785925;IEI
Rufous_Tailed_Jacamar;2,449511441;IEI
Tawny_Owl;3,027689734;IEI
Tawny_Owl;1,82906231;IEI
Tawny_Owl;1,52542241;IEI
Tawny_Owl;1,769890957;IEI
Tawny_Owl;2,94620641;IEI
Yellow_Bellied_Longbill;3,660258836;IEI
Yellow_Bellied_Longbill;4,53525246;IEI
Yellow_Bellied_Longbill;3,090494742;IEI
Yellow_Bellied_Longbill;4,543792521;IEI
Yellow_Bellied_Longbill;3,382478032;IEI
Common_Potoo;1,54629833;Wavelet
Common_Potoo;2,18679607;Wavelet
Common_Potoo;1,77623035;Wavelet
Common_Potoo;1,44274736;Wavelet
Common_Potoo;1,90371655;Wavelet
Guinea_Pig;1,90371655;Wavelet
Guinea_Pig;2,51196905;Wavelet
Guinea_Pig;3,09259667;Wavelet
Guinea_Pig;2,04035288;Wavelet
Guinea_Pig;2,69226177;Wavelet
Lilac_Breasted_Roller;3,09259667;Wavelet
Lilac_Breasted_Roller;5,57440835;Wavelet
Lilac_Breasted_Roller;2,60055345;Wavelet
Lilac_Breasted_Roller;2,60055345;Wavelet
Lilac_Breasted_Roller;3,67773796;Wavelet
Red_Breasted_Nuthatch;1,77623035;Wavelet
Red_Breasted_Nuthatch;1,65728152;Wavelet
Red_Breasted_Nuthatch;1,44274736;Wavelet
Red_Breasted_Nuthatch;1,77623035;Wavelet
Red_Breasted_Nuthatch;1,77623035;Wavelet
Red_Throated_Loon;4,85280433;Wavelet
Red_Throated_Loon;4,85280433;Wavelet
Red_Throated_Loon;5,02393811;Wavelet
