Rhythm_vocal_subset
Group,Group_Simple,Order,Common_Name,Dominant_Frequency,Log_Dominant_Frequency,Scientific_Name,Scientific_Name_.Replacement_Species.,Frequency,Log_Frequency,Weight,Log_Weight,Environement,Mastication,Vocal_Repertoire
1,Amphibia,Other,Anura,Ameerega Berohoka,4112.841797,3.614142004,Ameerega berohoka,Ameeregahahneli,3.80743311,0.58063228,0.005,-2.301029996,Wetland,3
2,Amphibia,Other,Anura,Ameerega Berohoka,4048.242188,3.607266486,Ameerega berohoka,Ameeregahahneli,2.26391327,0.35485979,0.005,-2.301029996,Wetland,3
3,Amphibia,Other,Anura,Ameerega Berohoka,4005.175781,3.602621581,Ameerega berohoka,Ameeregahahneli,2.98725147,0.47527178,0.005,-2.301029996,Wetland,3
4,Amphibia,Other,Anura,Ameerega Berohoka,4155.908203,3.618665946,Ameerega berohoka,Ameeregahahneli,2.69226177,0.43011728,0.005,-2.301029996,Wetland,3
5,Amphibia,Other,Anura,Ameerega Berohoka,3940.576172,3.595559727,Ameerega berohoka,Ameeregahahneli,2.51196905,0.40001428,0.005,-2.301029996,Wetland,3
6,Amphibia,Other,Anura,Common Frog,,,Rana temporaria,Rana temporaria,2.51196905,0.40001429,0.0227,-1.64397414,Shore,5
7,Amphibia,Other,Anura,Common Frog,,,Rana temporaria,Rana temporaria,2.51196905,0.40001429,0.0227,-1.64397414,Shore,5
8,Amphibia,Other,Anura,Common Spadefoot Toad,602.9296875,2.780266669,Pelobates fuscus,Pelobates fuscus,4.08070577,0.61073528,0.075,-1.12493874,Shore,7
9,Amphibia,Other,Anura,Common Spadefoot Toad,602.9296875,2.780266669,Pelobates fuscus,Pelobates fuscus,3.5524607,0.55052928,0.075,-1.12493874,Shore,7
10,Amphibia,Other,Anura,Common Spadefoot Toad,516.796875,2.713319879,Pelobates fuscus,Pelobates fuscus,5.2011069,0.71609578,0.075,-1.12493874,Shore,7
11,Aves,Aves,Passeriformes,Blue Backed Manakin,2325.585938,3.366532393,Chiroxiphia pareola,Lepidothrix coronata,4.22461154,0.62578678,0.0275,-1.56066731,Semi-Closed,6
12,Aves,Aves,Passeriformes,Blue Backed Manakin,2217.919922,3.345945862,Chiroxiphia pareola,Lepidothrix coronata,5.38452354,0.73114728,0.0275,-1.56066731,Semi-Closed,6
13,Aves,Aves,Passeriformes,Blue Backed Manakin,2304.052734,3.362492415,Chiroxiphia pareola,Lepidothrix coronata,4.37359215,0.64083828,0.0275,-1.56066731,Semi-Closed,6
14,Aves,Aves,Passeriformes,Blue Backed Manakin,2829.45784,3.451703227,Chiroxiphia pareola,Lepidothrix coronata,5.02393811,0.70104428,0.0275,-1.56066731,Semi-Closed,6
15,Aves,Aves,Passeriformes,Blue Backed Manakin,2605.517578,3.415894007,Chiroxiphia pareola,Lepidothrix coronata,4.22461154,0.62578678,0.0275,-1.56066731,Semi-Closed,6
16,Aves,Aves,Leptosomiformes,Cuckoo Roller,1808.789063,3.257387923,Leptosomus discolor,Merops viridis,1.44274736,0.15919029,0.231,-0.63638802,Closed,10
17,Aves,Aves,Leptosomiformes,Cuckoo Roller,1894.921875,3.277591309,Leptosomus discolor,Merops viridis,1.25598453,0.09898429,0.231,-0.63638802,Closed,10
18,Aves,Aves,Leptosomiformes,Cuckoo Roller,2067.1875,3.31537987,Leptosomus discolor,Merops viridis,1.39360209,0.14413879,0.231,-0.63638802,Closed,10
19,Aves,Aves,Leptosomiformes,Cuckoo Roller,2067.1875,3.31537987,Leptosomus discolor,Merops viridis,1.39360209,0.14413879,0.231,-0.63638802,Closed,10
20,Aves,Aves,Leptosomiformes,Cuckoo Roller,1808.789063,3.257387923,Leptosomus discolor,Merops viridis,1.09339804,0.03877829,0.231,-0.63638802,Closed,10
21,Aves,Aves,Passeriformes,Eastern Crowned Warbler,3617.578125,3.558417919,Phylloscopus coronatus,Phylloscopustrochilus,2.88549472,0.46022028,0.00925,-2.03385827,Closed,8
22,Aves,Aves,Passeriformes,Eastern Crowned Warbler,3100.78125,3.491471129,Phylloscopus coronatus,Phylloscopustrochilus,2.88549472,0.46022028,0.00925,-2.03385827,Closed,8
23,Aves,Aves,Passeriformes,Eastern Crowned Warbler,3100.78125,3.491471129,Phylloscopus coronatus,Phylloscopustrochilus,2.69226177,0.43011728,0.00925,-2.03385827,Closed,8
24,Aves,Aves,Passeriformes,Eastern Crowned Warbler,2756.25,3.440318607,Phylloscopus coronatus,Phylloscopustrochilus,5.2011069,0.71609578,0.00925,-2.03385827,Closed,8
25,Aves,Aves,Passeriformes,Eastern Crowned Warbler,3014.648438,3.479236673,Phylloscopus coronatus,Phylloscopustrochilus,2.42640217,0.38496279,0.00925,-2.03385827,Closed,8
26,Aves,Aves,Casuariiformes,Emu,,,Dromaius novaehollandiae,Dromaius novaehollandiae,7.10492141,0.85155928,42.5,1.62838893,Closed,5
27,Aves,Aves,Casuariiformes,Emu,,,Dromaius novaehollandiae,Dromaius novaehollandiae,0.85786271,-0.06658221,42.5,1.62838893,Closed,5
28,Aves,Aves,Casuariiformes,Emu,,,Dromaius novaehollandiae,Dromaius novaehollandiae,2.78720418,0.44516878,42.5,1.62838893,Closed,5
29,Aves,Aves,Casuariiformes,Emu,,,Dromaius novaehollandiae,Dromaius novaehollandiae,1.02017644,0.00867529,42.5,1.62838893,Closed,5
30,Aves,Aves,Casuariiformes,Emu,,,Dromaius novaehollandiae,Dromaius novaehollandiae,0.95185828,-0.02142771,42.5,1.62838893,Closed,5
31,Aves,Aves,Charadriiformes,Eurasian Oystercatcher,2928.515625,3.466647546,Haematopus ostralegus,Haematopus ostralegus,5.57440835,0.74619878,1.245,0.09516935,Shore,5
32,Aves,Aves,Charadriiformes,Eurasian Oystercatcher,3122.314453,3.494476639,Haematopus ostralegus,Haematopus ostralegus,avr.75,0.67094128,1.245,0.09516935,Shore,5
33,Aves,Aves,Charadriiformes,Eurasian Oystercatcher,3036.181641,3.48232775,Haematopus ostralegus,Haematopus ostralegus,4.52782654,0.65588978,1.245,0.09516935,Shore,5
34,Aves,Aves,Charadriiformes,Eurasian Oystercatcher,2777.783203,3.443698347,Haematopus ostralegus,Haematopus ostralegus,6.8629017,0.83650778,1.245,0.09516935,Shore,5
35,Aves,Aves,Charadriiformes,Eurasian Oystercatcher,2648.583984,3.423013749,Haematopus ostralegus,Haematopus ostralegus,6.62912607,0.82145628,1.245,0.09516935,Shore,5
36,Aves,Aves,Charadriiformes,Eurasian Stone Curlew,2627.050781,3.419468468,Burhinus oedicnemus,Burhinus oedicnemus,1.171875,0.06888129,0.4365,-0.36001575,Open,11
37,Aves,Aves,Charadriiformes,Eurasian Stone Curlew,2734.716797,3.436912358,Burhinus oedicnemus,Burhinus oedicnemus,1.44274736,0.15919029,0.4365,-0.36001575,Open,11
38,Aves,Aves,Charadriiformes,Eurasian Stone Curlew,2691.650391,3.43001865,Burhinus oedicnemus,Burhinus oedicnemus,1.54629833,0.18929329,0.4365,-0.36001575,Open,11
39,Aves,Aves,Charadriiformes,Eurasian Stone Curlew,2260.986328,3.354297936,Burhinus oedicnemus,Burhinus oedicnemus,1.54629833,0.18929329,0.4365,-0.36001575,Open,11
40,Aves,Aves,Charadriiformes,Eurasian Stone Curlew,2067.1875,3.31537987,Burhinus oedicnemus,Burhinus oedicnemus,1.54629833,0.18929329,0.4365,-0.36001575,Open,11
41,Aves,Aves,Accipitriformes,Golden Eagle,1291.992188,3.111259888,Aquila chrysaetos,Aquilaheliaca,3.43145085,0.53547778,4.755,0.67715052,Open,11
42,Aves,Aves,Accipitriformes,Golden Eagle,1205.859375,3.081296664,Aquila chrysaetos,Aquilaheliaca,3.67773796,0.56558078,4.755,0.67715052,Open,11
43,Aves,Aves,Accipitriformes,Golden Eagle,1335.058594,3.125500327,Aquila chrysaetos,Aquilaheliaca,3.20165685,0.50537478,4.755,0.67715052,Open,11
44,Aves,Aves,Accipitriformes,Golden Eagle,1313.525391,3.118438472,Aquila chrysaetos,Aquilaheliaca,3.20165685,0.50537478,4.755,0.67715052,Open,11
45,Aves,Aves,Accipitriformes,Golden Eagle,1894.921875,3.277591309,Aquila chrysaetos,Aquilaheliaca,2.42640217,0.38496279,4.755,0.67715052,Open,11
46,Aves,Aves,Musophagiformes,Great Blue Turacoo,904.3945313,2.956357928,Corythaeola cristata,Corythaeola cristata,9.375,0.97197128,1.0265,0.01135895,Closed,7
47,Aves,Aves,Musophagiformes,Great Blue Turacoo,882.8613281,2.945892494,Corythaeola cristata,Corythaeola cristata,9.05565308,0.95691978,1.0265,0.01135895,Closed,7
48,Aves,Aves,Musophagiformes,Great Blue Turacoo,968.9941406,2.986321151,Corythaeola cristata,Corythaeola cristata,8.16141153,0.91176528,1.0265,0.01135895,Closed,7
49,Aves,Aves,Musophagiformes,Great Blue Turacoo,882.8613281,2.945892494,Corythaeola cristata,Corythaeola cristata,7.35547592,0.86661078,1.0265,0.01135895,Closed,7
50,Aves,Aves,Musophagiformes,Great Blue Turacoo,882.8613281,2.945892494,Corythaeola cristata,Corythaeola cristata,7.10492141,0.85155928,1.0265,0.01135895,Closed,7
51,Aves,Aves,Passeriformes,House Sparrow,3940.576172,3.595559727,Passer domesticus,Passer domesticus,2.26391327,0.35485979,0.01966667,-1.70626924,Semi-Closed,13
52,Aves,Aves,Passeriformes,House Sparrow,3596.044922,3.555825108,Passer domesticus,Passer domesticus,1.60082843,0.20434479,0.01966667,-1.70626924,Semi-Closed,13
53,Aves,Aves,Passeriformes,House Sparrow,4048.242188,3.607266486,Passer domesticus,Passer domesticus,2.18679607,0.33980829,0.01966667,-1.70626924,Semi-Closed,13
54,Aves,Aves,Passeriformes,House Sparrow,3660.644531,3.563557559,Passer domesticus,Passer domesticus,1.77623035,0.24949929,0.01966667,-1.70626924,Semi-Closed,13
55,Aves,Aves,Passeriformes,House Sparrow,3962.109375,3.59792646,Passer domesticus,Passer domesticus,1.25598453,0.09898429,0.01966667,-1.70626924,Semi-Closed,13
56,Aves,Aves,Piciformes,Iberian Green Woodpecker,2304.052734,3.362492415,Picus sharpei,Picus canus,7.61486622,0.88166228,0.194,-0.71219827,Semi-Closed,10
57,Aves,Aves,Piciformes,Iberian Green Woodpecker,2454.785156,3.390013488,Picus sharpei,Picus canus,7.88340389,0.89671378,0.194,-0.71219827,Semi-Closed,10
58,Aves,Aves,Piciformes,Iberian Green Woodpecker,2390.185547,3.378431616,Picus sharpei,Picus canus,8.7471843,0.94186828,0.194,-0.71219827,Semi-Closed,10
59,Aves,Aves,Piciformes,Iberian Green Woodpecker,2153.320313,3.333108637,Picus sharpei,Picus canus,6.4033137,0.80640478,0.194,-0.71219827,Semi-Closed,10
60,Aves,Aves,Piciformes,Iberian Green Woodpecker,2260.986328,3.354297936,Picus sharpei,Picus canus,6.18519333,0.79135328,0.194,-0.71219827,Semi-Closed,10
61,Aves,Aves,Coraciiformes,Laughing Kookaburra,2260.986328,3.354297936,Dacelo novaeguineae,Dacelo novaeguineae,8.7471843,0.94186828,0.3295,-0.48214458,Closed,8
62,Aves,Aves,Coraciiformes,Laughing Kookaburra,1119.726563,3.049111981,Dacelo novaeguineae,Dacelo novaeguineae,10.7690471,1.03217728,0.3295,-0.48214458,Closed,8
