Recording;Length;Common_Name
i1_1;7,31723356;Ameerega berohoka
i2_1;7,885464853;Ameerega berohoka
i3_1;7,6969161;Ameerega berohoka
i4_1;7,319546485;Ameerega berohoka
i5_1;6,914081633;Ameerega berohoka
i1_1;2,426485261;Australian Sea Lion
i1_2;11,37777778;Australian Sea Lion
i1_3;1,741496599;Australian Sea Lion
i10_1;2,34521542;Australian Sea Lion
i10_2;1,938866213;Australian Sea Lion
i10_3;1,82276644;Australian Sea Lion
i11_1;1,915646259;Australian Sea Lion
i11_2;1,985306122;Australian Sea Lion
i11_3;1,973696145;Australian Sea Lion
i12_1;1,834376417;Australian Sea Lion
i12_2;1,64861678;Australian Sea Lion
i12_3;1,660226757;Australian Sea Lion
i2_1;2,205895692;Australian Sea Lion
i2_2;2,020136054;Australian Sea Lion
i2_3;2,159455782;Australian Sea Lion
i3_1;2,043356009;Australian Sea Lion
i3_2;2,008526077;Australian Sea Lion
i3_3;2,008526077;Australian Sea Lion
i4_1;1,799546485;Australian Sea Lion
i4_2;1,8808125;Australian Sea Lion
i4_3;1,799546485;Australian Sea Lion
i4_4;1,834376417;Australian Sea Lion
i4_5;1,149395833;Australian Sea Lion
i4_6;1,532520833;Australian Sea Lion
i5_1;1,602176871;Australian Sea Lion
i5_2;1,811156463;Australian Sea Lion
i5_3;1,671836735;Australian Sea Lion
i6_1;1,625395833;Australian Sea Lion
i6_2;1,509291667;Australian Sea Lion
i6_3;1,561541667;Australian Sea Lion
i7_1;2,34521542;Australian Sea Lion
i7_2;2,252335601;Australian Sea Lion
i7_3;2,240725624;Australian Sea Lion
i8_1;2,205895833;Australian Sea Lion
i8_2;2,229125;Australian Sea Lion
i8_3;2,205895833;Australian Sea Lion
i9_1;1,34675;Australian Sea Lion
i9_2;1,637;Australian Sea Lion
i9_3;1,703770833;Australian Sea Lion
i1_1;7,383945578;Black Backed Puffback
i2_1;6,59446712;Black Backed Puffback
i3_1;7,325895692;Black Backed Puffback
i4_1;7,825124717;Black Backed Puffback
i5_1;7,511645833;Black Backed Puffback
i1_1;3,413333333;Black Capped Donacobius
i2_1;5,433469388;Black Capped Donacobius
i3_1;2,530975057;Black Capped Donacobius
i4_1;3,181133787;Black Capped Donacobius
i5_1;2,589024943;Black Capped Donacobius
i1_1;7,133572917;Black Tailed Prairie Dog
i2_1;6,774791667;Black Tailed Prairie Dog
i3_1;7,111197917;Black Tailed Prairie Dog
i4_1;2,76525;Black Tailed Prairie Dog
i5_1;7,33278125;Black Tailed Prairie Dog
i1_1;5,29414966;Blue Backed Manakin
i2_1;3,308843537;Blue Backed Manakin
i3_1;5,363809524;Blue Backed Manakin
i4_1;2,47292517;Blue Backed Manakin
i5_1;5,839818594;Blue Backed Manakin
i1_1;5,572791667;Bonobo
i1_10;6,211333333;Bonobo
i1_11;6,5131875;Bonobo
i1_12;5,99075;Bonobo
i1_13;4,922625;Bonobo
i1_14;6,884708333;Bonobo
i1_15;5,874645833;Bonobo
i1_16;4,516270833;Bonobo
i1_17;4,818145833;Bonobo
i1_18;4,144770833;Bonobo
i1_19;6,536416667;Bonobo
