Recording;SNR;Common_Name
i1_1;47,45906916;Ameerega berohoka
i2_1;55,40793513;Ameerega berohoka
i3_1;54,74850463;Ameerega berohoka
i4_1;56,59569911;Ameerega berohoka
i5_1;52,72808206;Ameerega berohoka
i1_1;34,20621563;Australian Sea Lion
i1_2;66,50786826;Australian Sea Lion
i1_3;97,43304754;Australian Sea Lion
i10_1;31,96548642;Australian Sea Lion
i10_2;24,24388285;Australian Sea Lion
i10_3;33,57439864;Australian Sea Lion
i11_1;38,24257094;Australian Sea Lion
i11_2;53,23411853;Australian Sea Lion
i11_3;33,07201611;Australian Sea Lion
i12_1;57,45398208;Australian Sea Lion
i12_2;34,30961103;Australian Sea Lion
i12_3;33,4742822;Australian Sea Lion
i2_1;36,60979265;Australian Sea Lion
i2_2;53,47751111;Australian Sea Lion
i2_3;41,14549679;Australian Sea Lion
i3_1;31,97927846;Australian Sea Lion
i3_2;29,42884369;Australian Sea Lion
i3_3;29,42884529;Australian Sea Lion
i4_1;26,07017323;Australian Sea Lion
i4_2;45,56545625;Australian Sea Lion
i4_3;24,96065302;Australian Sea Lion
i4_4;29,80732874;Australian Sea Lion
i4_5;38,11609032;Australian Sea Lion
i4_6;35,03203024;Australian Sea Lion
i5_1;34,9052991;Australian Sea Lion
i5_2;32,63381911;Australian Sea Lion
i5_3;30,5746798;Australian Sea Lion
i6_1;34,68243515;Australian Sea Lion
i6_2;28,60459578;Australian Sea Lion
i6_3;35,33199078;Australian Sea Lion
i7_1;32,57752242;Australian Sea Lion
i7_2;48,24627556;Australian Sea Lion
i7_3;31,8348698;Australian Sea Lion
i8_1;23,76635753;Australian Sea Lion
i8_2;26,5015898;Australian Sea Lion
i8_3;25,08129527;Australian Sea Lion
i9_1;30,34448037;Australian Sea Lion
i9_2;44,32658193;Australian Sea Lion
i9_3;39,18254779;Australian Sea Lion
i1_1;48,8273379;Black Backed Puffback
i2_1;41,53331468;Black Backed Puffback
i3_1;52,24401378;Black Backed Puffback
i4_1;57,74238927;Black Backed Puffback
i5_1;44,47375035;Black Backed Puffback
i1_1;56,18361686;Black Capped Donacobius
i2_1;37,93358403;Black Capped Donacobius
i3_1;38,54703983;Black Capped Donacobius
i4_1;41,84170487;Black Capped Donacobius
i5_1;53,94861217;Black Capped Donacobius
i1_1;40,7568142;Black Tailed Prairie Dog
i2_1;47,18509172;Black Tailed Prairie Dog
i3_1;41,0736986;Black Tailed Prairie Dog
i4_1;42,95701998;Black Tailed Prairie Dog
i5_1;45,19571294;Black Tailed Prairie Dog
i1_1;45,96748371;Blue Backed Manakin
i2_1;40,18518549;Blue Backed Manakin
i3_1;44,63135521;Blue Backed Manakin
i4_1;33,22931206;Blue Backed Manakin
i5_1;45,32112535;Blue Backed Manakin
i1_1;50,53915204;Bonobo
i1_10;38,39363446;Bonobo
i1_11;21,12034463;Bonobo
i1_12;45,91404524;Bonobo
i1_13;44,51414451;Bonobo
i1_14;34,80092151;Bonobo
i1_15;43,27611916;Bonobo
i1_16;79,73226516;Bonobo
i1_17;78,24751676;Bonobo
i1_18;43,20439213;Bonobo
i1_19;43,46222616;Bonobo
i1_2;43,14159885;Bonobo
i1_20;45,74821583;Bonobo
i1_21;68,41621529;Bonobo
i1_22;34,16914225;Bonobo
i1_23;31,30525366;Bonobo
i1_24;51,14611245;Bonobo
i1_25;53,05579939;Bonobo
i1_26;39,92753327;Bonobo
i1_3;39,45667191;Bonobo
i1_4;39,68253364;Bonobo
i1_5;36,61277597;Bonobo
i1_6;38,59925396;Bonobo
i1_7;42,92684132;Bonobo
i1_8;41,8951433;Bonobo
i1_9;46,25856735;Bonobo
i2_1;48,40282526;Bonobo
i2_10;44,70482934;Bonobo
i2_11;29,20296235;Bonobo
i2_12;75,11655607;Bonobo
i2_2;45,51211772;Bonobo
i2_3;36,3944231;Bonobo
i2_4;39,17002127;Bonobo
i2_5;46,9884837;Bonobo
i2_6;31,68446672;Bonobo
i2_7;36,70258558;Bonobo
i2_8;41,15941197;Bonobo
i2_9;44,71007344;Bonobo
i3_1;48,23657836;Bonobo
i3_2;60,27424631;Bonobo
i3_3;52,08565398;Bonobo
i3_4;50,4918792;Bonobo
i4_1;40,17302677;Bonobo
i4_10;46,17594392;Bonobo
i4_11;40,85738739;Bonobo
i4_12;41,68122481;Bonobo
i4_13;42,22109677;Bonobo
i4_14;43,07799192;Bonobo
i4_15;45,0170378;Bonobo
i4_16;43,05530042;Bonobo
i4_17;34,54965064;Bonobo
i4_18;39,41158637;Bonobo
i4_19;44,03276741;Bonobo
i4_2;26,9961775;Bonobo
i4_20;39,69555214;Bonobo
